Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
071490,"Arrowroot,salep etc fr o drid whether o not slicd o pelletd&sago pith",,071490_bc,1.00,1.00,348.0,15.0,22.0,385.0
071490_bc,Roots and tubers nes,Roots and tubers nes,071490_bc,1.00,1.00,348.0,15.0,22.0,385.0
110620,Flour&meal of sago&of roots or tubers with hi starch or inulin content,,070690,0.25,1.00,1392.0,61.0,88.0,1541.0
121292,"Sugar cane, fresh or dried, whether or not ground",Sugar cane,121292,1.00,1.00,139.0,57.0,13.0,209.0
170111,"Raw sugar, cane",,121292,0.11,0.87,1107.0,455.0,104.0,1666.0
170191,"Refined sugar,in solid form,containg added flavourg or colourg matter",,170111,0.94,1.00,1184.0,487.0,111.0,1782.0
170199,"Refined sugar, in solid form, nes",,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170220,Maple sugar and maple syrup,,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170230,Glucose&glucose syrup nt cntg fruct/cntg in dry state <20% by wt fruct,,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170240,Glucose inc syrup cntg in dry state min 20% but <50% by wt of fructose,,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170250,"Fructose, chemically pure",,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170260,"Fructose&fructose syrup nes,cntg in dry state >50% by wght of fructose",,170191,1.00,1.00,1184.0,487.0,111.0,1782.0
170310,Cane molasses,,121292,0.05,0.13,350.0,144.0,33.0,527.0
121291,"Sugar beet, fresh or dried, whether or not ground",Sugar beet,121291,1.00,1.00,82.0,26.0,25.0,133.0
170112,"Raw sugar, beet",,121291,0.14,0.92,535.0,167.0,162.0,864.0
170390,Molasses nes,,121291,0.05,0.08,139.0,43.0,42.0,224.0
121299ab,"Sugar crops, nes","Sugar crops, nes",121299ab,1.00,1.00,980.0,500.0,94.0,1574.0
170290,"Sugar nes, including invert sugar",,121299ab,0.10,1.00,9795.0,500.0,935.0,11230.0
071332,"Beans,small red (Adzuki) dried,shelled,whether or not skinned or split","Beans, dry",071332,1.00,1.00,3945.0,125.0,983.0,5053.0
071333,"Kidney beans&white pea beans drid shelld,whether o not skinnd o split",,071332,1.00,1.00,3945.0,125.0,983.0,5053.0
071339,"Beans dried, shelled, whether or not skinned or split, nes",,071332,1.00,1.00,3945.0,125.0,983.0,5053.0
110610,Flour and meal of the dried leguminous vegetables of heading No 07.13,,071332,0.72,1.00,5479.0,173.0,1366.0,7018.0
071350,"Broad beans&horse beans dried,shelled,whether or not skinned or split","Broad beans, horse beans, dry",071350,1.00,1.00,1317.0,205.0,496.0,2018.0
071310,"Peas dried, shelled, whether or not skinned or split","Peas, dry",071310,1.00,1.00,1453.0,33.0,493.0,1979.0
071320,"Chickpeas, dried, shelled, whether or not skinned or split",Chick peas,071320,1.00,1.00,2972.0,224.0,981.0,4177.0
07133_b,"Cow peas, dry","Cow peas, dry",07133_b,1.00,1.00,6841.0,10.0,55.0,6906.0
071390aa,Pigeon peas,Pigeon peas,071390aa,1.00,1.00,4739.0,72.0,683.0,5494.0
