Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Global average (Green),Global average (Blue),Global average (Grey),Total Global average
40291.0,"Milk and cream unsweetened, nes","Milk,cream unsweetened",FAO882,0.5,0.83,1334,132,112,1578
40299.0,Milk and cream nes sweetened,"Milk,cream, sweetened",040130,1.0,1.0,1605,164,134,1903
40310.0,"Yogurt concentratd o not,sweetend o not,flavourd o contg fruit o cocoa",Yogurt,FAO882,0.8,1.0,1003,99,84,1186
40390.0,"Buttermilk,curdled milk & cream,kephir & ferm or acid milk & cream nes",Buttermilk,FAO882,0.1,0.17,1352,134,113,1599
40410.0,Whey whether or not concentrated or sweetened,Whey,FAO882,0.73,0.5,547,54,46,647
40490.0,Products consisting of natural milk constituents sweetened or not nes,Milk products nes,FAO882,0.8,1.0,1003,99,84,1186
40510.0,Butter,butter,FAO882,0.05,0.28,4695,465,393,5553
40610.0,"Cheese, fresh (including whey cheese) unfermented, and curd","Fresh cheese,unfermented",FAO882,0.15,0.5,2687,266,225,3178
40620.0,"Cheese, grated or powdered, of all kinds","Cheese, powdered, grated",040610,0.63,1.0,4264,439,357,5060
40630.0,"Cheese processed, not grated or powdered","Processed cheese, whole",040610,0.63,1.0,4264,439,357,5060
40640.0,"Cheese, blue-veined",Blue-veined cheese,040610,0.63,1.0,4264,439,357,5060
40690.0,Cheese nes,"Other cheese, curd",040610,0.63,1.0,4264,439,357,5060
40700.0,"Eggs, bird, in shell, fresh, preserved or cooked","Birds' eggs, in shell",040700,1.0,1.0,2592,244,429,3265
40811.0,Egg yolks dried,"Egg,unshelld;yolks,dried",040819,0.5,1.0,5184,508,857,6549
40819.0,Egg yolks nes,"Egg,unshelld;ylk,not dry",040700,1.0,1.0,2592,249,429,3270
40891.0,"Eggs, bird, not in shell, dried",,040899,0.75,1.0,3840,375,635,4850
40899.0,"Eggs, bird, not in shell nes",,040700,0.9,1.0,2880,276,476,3632
50210.0,"Bristles, hair and waste of pigs, hogs or boars","Bristle,hair for brushes",010310,0.01,0.03,11459,1040,1452,13951
50300.0,Horsehair&waste put up or not as a layer with or without supg material,Horsehair and waste,010111,0.01,0.02,78614,5269,2053,85936
51110.0,Semen bovine,Bovine semen,010210,0.0001,0.02,1068693,40581,33430,1142704
160231.0,"Turkey meat and meat offal prepared or preserved, excluding livers","Poultry,prprd,prsrvd,nes",010599,0.78,1.0,3545,313,467,4325
160239.0,"Dom fowl,duck,goose&guinea fowl meat&meat offal prep/presvd exc livers",,010511,0.78,1.0,3545,313,467,4325
160241.0,Hams and cuts thereof of swine prepared or preserved,"Pork,prepred,presrvd,nes",020312,0.88,1.0,5287,500,670,6457
160242.0,Shoulders and cut thereof of swine prepared or preserved,,020312,0.98,1.0,4747,444,602,5793
160249.0,"Swine meat&meat offal nes/exc livers/ incl mixtures,prepard o preservd",,020630,0.3,0.33,1125,102,143,1370
160250.0,"Bovine meat and meat offal nes,excluding livers, prepared or preserved","Bov.meat,prpd,prsrvd,nes",020610,0.6,1.0,17388,660,544,18592
410110.0,"Bovine skins, whole, raw",Whole bovin.hide<8kg dry,010210,0.06,0.05,6366,242,199,6807
410121.0,"Bovine hides, whole, fresh or wet-salted","Bovine hides,skins,fresh",410130,0.8,1.0,7958,315,249,8522
410122.0,"Butts and bends, bovine, fresh or wet-salted",,410130,0.8,1.0,7958,315,249,8522
410129.0,"Hide sections, bovine, nes, fresh or wet-salted",,410130,0.8,1.0,7958,315,249,8522
410130.0,"Bovine hides, raw, nes","Bovine hides,skins,other",010210,0.06,0.05,6366,242,199,6807
410140.0,"Equine hides and skins, raw","Equine hides,skins",010210,0.06,0.11,13132,499,411,14042
410210.0,"Sheep or lamb skins, raw, with wool on, nes","Sheep skin,excpt.furskin",010410,0.08,0.06,3107,158,24,3289
410221.0,"Sheep or lamb skins, pickled, without wool on",Sheep skin without wool,410210,0.95,1.0,3270,171,25,3466
410229.0,"Sheep or lamb skins, raw, o/t pickled, without wool on",,410210,0.95,1.0,3270,171,25,3466
410310.0,"Goat or kid hides and skins, raw, nes","Goat,kid skin,ex.furskin",010420,0.08,0.13,4611,294,5,4910
410410.0,"Bovine skin leather, whole",Whole bovine skin leathr,410110,0.4,1.0,15916,679,498,17093
410421.0,"Bovine leather, vegetable pre-tanned, nes","Oth.bov.,eqn.lthr,tanned",410121,0.5,1.0,15916,669,498,17083
410422.0,"Bovine leather, otherwise pre-tanned, nes",,410121,0.5,1.0,15916,649,498,17063
410429.0,"Bovine and equine leather, tanned or retanned, nes",,410121,0.5,1.0,15916,649,498,17063
410431.0,"Bovine and equine leather, full/split grains, nes","Oth.bov.,eqn.lthr,preprd",410121,0.5,1.0,15916,689,498,17103
410439.0,"Bovine and equine leather, nes",,410140,0.4,1.0,32829,1322,1027,35178
410511.0,"Sheep or lamb skin leather, vegetable pre-tanned","Sheepskin leather,tanned",410221,0.9,1.0,3634,212,28,3874
410512.0,"Sheep or lamb skin leather, otherwise pre-tanned",,410221,0.9,1.0,3634,212,28,3874
410519.0,"Sheep or lamb skin leather, tanned or retanned, nes",,410221,0.9,1.0,3634,212,28,3874
410520.0,"Sheep or lamb skin leather, nes","Sheepskin leather,preprd",410221,0.9,1.0,3634,212,28,3874
410611.0,"Goat or kid skin leather, vegetable pre-tanned","Goatskin leather,tanned",410310,0.9,1.0,5123,349,6,5478
410612.0,"Goat or kid skin leather, otherwise pre-tanned",,410310,0.9,1.0,5123,349,6,5478
410619.0,"Goat or kid skin leather, tanned or retanned, nes",,410310,0.9,1.0,5123,349,6,5478
410620.0,"Goat or kid skin leather, nes","Goatskin leather,preprd",410310,0.9,1.0,5123,349,6,5478
