Product code (HS),Product description (HS),Product description (FAOSTAT),Root product (HS),Product fraction (pf),Value fraction (vf),Province/ state >>>,Global average
,,,,,,Grey,230
110813,Potato starch,,070190,0.19,1.00,Green,1005
,,,,,,Blue,173
,,,,,,Grey,333
071420,"Sweet potatoes, fresh or dried, whether or not sliced or pelleted",Sweet potatoes,071420,1.00,1.00,Green,324
,,,,,,Blue,5
,,,,,,Grey,53
071410,"Manioc (cassava), fresh or dried, whether or not sliced or pelleted",Cassava,071410,1.00,1.00,Green,550
,,,,,,Blue,0
,,,,,,Grey,13
071410a,Tapioca of cassava,,071410,0.20,1.00,Green,2750
,,,,,,Blue,1
,,,,,,Grey,66
071410b,Flour of cassava,,071410,0.30,1.00,Green,1833
,,,,,,Blue,1
,,,,,,Grey,44
071410c,Dried cassava,,071410,0.35,1.00,Green,1571
,,,,,,Blue,1
,,,,,,Grey,38
110814,Manioc (cassava) starch,,071410,0.25,1.00,Green,2200
,,,,,,Blue,1
,,,,,,Grey,53
071490ba,Yautia (cocoyam),Yautia (cocoyam),071490ba,1.00,1.00,Green,849
,,,,,,Blue,22
,,,,,,Grey,11
071490_bb,Taro (coco yam),Taro (coco yam),071490_bb,1.00,1.00,Green,587
,,,,,,Blue,3
,,,,,,Grey,15
071490_a,Yams,Yams,071490_a,1.00,1.00,Green,341
,,,,,,Blue,0
,,,,,,Grey,1
070690,"Salad beetroot,salsif,celeriac,radish&sim edibl roots,fresh/chilld nes",,071490_bc,1.00,1.00,Green,348
,,,,,,Blue,15
,,,,,,Grey,22
071490,"Arrowroot,salep etc fr o drid whether o not slicd o pelletd&sago pith",,071490_bc,1.00,1.00,Green,348
,,,,,,Blue,15
,,,,,,Grey,22
071490_bc,Roots and tubers nes,Roots and tubers nes,071490_bc,1.00,1.00,Green,348
,,,,,,Blue,15
,,,,,,Grey,22
110620,Flour&meal of sago&of roots or tubers with hi starch or inulin content,,070690,0.25,1.00,Green,1392
,,,,,,Blue,61
,,,,,,Grey,88
121292,"Sugar cane, fresh or dried, whether or not ground",Sugar cane,121292,1.00,1.00,Green,139
,,,,,,Blue,57
,,,,,,Grey,13
170111,"Raw sugar, cane",,121292,0.11,0.87,Green,1107
,,,,,,Blue,455
,,,,,,Grey,104
170191,"Refined sugar,in solid form,containg added flavourg or colourg matter",,170111,0.94,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170199,"Refined sugar, in solid form, nes",,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170220,Maple sugar and maple syrup,,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170230,Glucose&glucose syrup nt cntg fruct/cntg in dry state <20% by wt fruct,,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170240,Glucose inc syrup cntg in dry state min 20% but <50% by wt of fructose,,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170250,"Fructose, chemically pure",,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170260,"Fructose&fructose syrup nes,cntg in dry state >50% by wght of fructose",,170191,1.00,1.00,Green,1184
,,,,,,Blue,487
,,,,,,Grey,111
170310,Cane molasses,,121292,0.05,0.13,Green,350
,,,,,,Blue,144
,,,,,,Grey,33
121291,"Sugar beet, fresh or dried, whether or not ground",Sugar beet,121291,1.00,1.00,Green,82
,,,,,,Blue,26
,,,,,,Grey,25
170112,"Raw sugar, beet",,121291,0.14,0.92,Green,535
,,,,,,Blue,167
,,,,,,Grey,162
170390,Molasses nes,,121291,0.05,0.08,Green,139
,,,,,,Blue,43
,,,,,,Grey,42
121299ab,"Sugar crops, nes","Sugar crops, nes",121299ab,1.00,1.00,Green,980
,,,,,,Blue,
,,,,,,Grey,94
170290,"Sugar nes, including invert sugar",,121299ab,0.10,1.00,Green,9795
,,,,,,Blue,
,,,,,,Grey,935
071332,"Beans,small red (Adzuki) dried,shelled,whether or not skinned or split","Beans, dry",071332,1.00,1.00,Green,3945
,,,,,,Blue,125
,,,,,,Grey,983
071333,"Kidney beans&white pea beans drid shelld,whether o not skinnd o split",,071332,1.00,1.00,Green,3945
,,,,,,Blue,125
,,,,,,Grey,983
071339,"Beans dried, shelled, whether or not skinned or split, nes",,071332,1.00,1.00,Green,3945
,,,,,,Blue,125
,,,,,,Grey,983
110610,Flour and meal of the dried leguminous vegetables of heading No 07.13,,071332,0.72,1.00,Green,5479
,,,,,,Blue,173
,,,,,,Grey,1366
071350,"Broad beans&horse beans dried,shelled,whether or not skinned or split","Broad beans, horse beans, dry",071350,1.00,1.00,Green,1317
,,,,,,Blue,205
,,,,,,Grey,496
071310,"Peas dried, shelled, whether or not skinned or split","Peas, dry",071310,1.00,1.00,Green,1453
,,,,,,Blue,33
,,,,,,Grey,493
071320,"Chickpeas, dried, shelled, whether or not skinned or split",Chick peas,071320,1.00,1.00,Green,2972
,,,,,,Blue,224
,,,,,,Grey,981
07133_b,"Cow peas, dry","Cow peas, dry",07133_b,1.00,1.00,Green,6841
,,,,,,Blue,10
,,,,,,Grey,55
071390aa,Pigeon peas,Pigeon peas,071390aa,1.00,1.00,Green,4739
,,,,,,Blue,72
,,,,,,Grey,683
071340,"Lentils dried, shelled, whether or not skinned or split",Lentils,071340,1.00,1.00,Green,4324
,,,,,,Blue,489
,,,,,,Grey,1060
071390ad,Bambara beans,Bambara beans,071390ad,1.00,1.00,Green,3162
,,,,,,Blue,71
,,,,,,Grey,34
071390ac,Vetches,Vetches,071390ac,1.00,1.00,Green,2031
,,,,,,Blue,109
,,,,,,Grey,213
071390ab,Lupins,Lupins,071390ab,1.00,1.00,Green,1350
,,,,,,Blue,21
,,,,,,Grey,506
071331,"Urd,mung,black/green gram beans drid shelld,whether/not skinnd/split",,071390ae,1.00,1.00,Green,2217
,,,,,,Blue,250
,,,,,,Grey,650
071390ae,Pulses nes,Pulses nes,071390ae,1.00,1.00,Green,2217
,,,,,,Blue,250
,,,,,,Grey,650
080121,"Brazil nuts, with shell","Brazil nuts, with shell",080121,1.00,1.00,Green,248
,,,,,,Blue,
,,,,,,Grey,8
080131_a,Cashew nuts,Cashew nuts,080131_a,1.00,1.00,Green,12853
,,,,,,Blue,921
,,,,,,Grey,444
080240,"Chestnuts, fresh or dried, whether or not shelled or peeled",Chestnuts,080240,1.00,1.00,Green,2432
,,,,,,Blue,174
,,,,,,Grey,144
080211,Almonds in shell fresh or dried,"Almonds, with shell",080211,1.00,1.00,Green,4632
,,,,,,Blue,1908
,,,,,,Grey,1507
080212,"Almonds,fresh or dried,shelled or peeled",,080211,0.50,1.00,Green,9264
,,,,,,Blue,3816
,,,,,,Grey,3015
080231,"Walnuts in shell, fresh or dried","Walnuts, with shell",080231,1.00,1.00,Green,2805
,,,,,,Blue,1299
,,,,,,Grey,814
080232,"Walnuts, fresh or dried, shelled or peeled",,080231,0.53,1.00,Green,5293
,,,,,,Blue,2451
,,,,,,Grey,1536
080250,"Pistachios, fresh or dried, whether or not shelled or peeled",Pistachios,080250,1.00,1.00,Green,3095
,,,,,,Blue,7602
,,,,,,Grey,666
080290aa,Kolanuts,Kolanuts,080290aa,1.00,1.00,Green,23345
,,,,,,Blue,26
,,,,,,Grey,19
080221,Hazelnuts or filberts in shell fresh or dried,"Hazelnuts, with shell",080221,1.00,1.00,Green,3813
,,,,,,Blue,1090
,,,,,,Grey,354
080222,"Hazelnuts or filberts, fresh or dried, shelled or peeled",,080221,0.50,1.00,Green,7627
,,,,,,Blue,2180
,,,,,,Grey,709
080290ab,Arecanuts,Arecanuts,080290ab,1.00,1.00,Green,10621
,,,,,,Blue,139
,,,,,,Grey,406
080290,"Nuts edible, fresh or dried, whether or not shelled or peeled, nes","Nuts, nes",080290,1.00,1.00,Green,8379
,,,,,,Blue,1156
,,,,,,Grey,891
120100,Soya beans,Soybeans,120100,1.00,1.00,Green,2037
,,,,,,Blue,70
,,,,,,Grey,37
120100a,Soya sauce,,120100,3.50,1.00,Green,582
,,,,,,Blue,20
,,,,,,Grey,11
120100b,Soya curd (tofu),,120100,3.75,1.00,Green,543
,,,,,,Blue,19
,,,,,,Grey,10
120100d,soybean ingredient into the soymilk,,120100,0.57,1.00,Green,3574
,,,,,,Blue,123
,,,,,,Grey,65
120100e,Soy burger,,120100,0.57,1.00,Green,3574
,,,,,,Blue,123
,,,,,,Grey,65
120810,Soya bean flour and meals,,120100,0.85,1.00,Green,2397
,,,,,,Blue,83
,,,,,,Grey,44
150710,"Soya-bean oil crude, whether or not degummed",,120100,0.18,0.34,Green,3900
,,,,,,Blue,135
,,,,,,Grey,71
150790,"Soya-bean oil and its fractions, refined but not chemically modified",,150710,0.98,1.00,Green,3980
,,,,,,Blue,137
,,,,,,Grey,73
230400,"Soya-bean oil-cake&oth solid residues,whether or not ground or pellet",,120100,0.79,0.66,Green,1690
,,,,,,Blue,58
,,,,,,Grey,31
120210,Ground-nuts in shell not roasted or otherwise cooked,Groundnuts in shell,120210,1.00,1.00,Green,2469
,,,,,,Blue,150
,,,,,,Grey,163
120220,"Ground-nuts shelld,whether or not broken,not roastd or otherwise cookd",,120210,0.70,1.00,Green,3526
,,,,,,Blue,214
,,,,,,Grey,234
150810,"Ground-nut oil, crude",,120220,0.43,0.80,Green,6547
,,,,,,Blue,397
,,,,,,Grey,434
150890,Ground-nut oil and its fractions refined but not chemically modified,,150810,0.98,1.00,Green,6681
,,,,,,Blue,405
,,,,,,Grey,442
230500,"Ground-nut oil-cake&oth solid residues,whether or not ground or pellet",,120220,0.54,0.20,Green,1317
,,,,,,Blue,80
,,,,,,Grey,87
080119,Coconuts,Coconuts,080119,1.00,1.00,Green,2669
,,,,,,Blue,2
,,,,,,Grey,16
120300,Copra,,120300a,0.60,1.00,Green,2079
,,,,,,Blue,1
,,,,,,Grey,12
120300a,Coconut (husked),,080119,1.00,0.47,Green,1248
,,,,,,Blue,1
,,,,,,Grey,7
151311,Coconut (copra) oil crude,,120300,0.36,0.76,Green,4372
,,,,,,Blue,3
,,,,,,Grey,26
151319,Coconut (copra) oil&its fractions refined but not chemically modified,,151311,0.98,1.00,Green,4461
,,,,,,Blue,3
,,,,,,Grey,27
230650,"Coconut/copra oil-cake&oth solid residues,whether/not ground/pellet",,120300,0.61,0.24,Green,829
,,,,,,Blue,1
,,,,,,Grey,5
530511,"Coconut (coir) fibre, raw",,530519,0.75,1.00,Green,3245
,,,,,,Blue,2
,,,,,,Grey,19
530519,"Coconut (coir) fibre,processd nt spun;tow,noils&waste of coconut fib",,120300a,0.50,0.46,Green,2434
,,,,,,Blue,2
,,,,,,Grey,15
120710,"Palm nuts and kernels, whether or not broken",,120710ab,0.06,0.16,Green,2762
,,,,,,Blue,1
,,,,,,Grey,105
120710ab,Oil palm fruit,Oil palm,120710ab,1.00,1.00,Green,1057
,,,,,,Blue,0
,,,,,,Grey,40
151110,"Palm oil, crude",,120710ab,0.19,0.84,Green,4691
,,,,,,Blue,1
,,,,,,Grey,179
151190,Palm oil and its fractions refined but not chemically modified,,151110,0.98,1.00,Green,4787
,,,,,,Blue,1
,,,,,,Grey,182
151321,"Palm kernel or babassu oil, crude",,120710,0.46,0.85,Green,5098
,,,,,,Blue,1
